title,assignedTo,priority,status,estimate,timeSpent,dueDate
"Conduct code review #4","Developer 1","3","In Progress","7","0","2025-05-05T19:57:19"
"Fix bug Y #2","Developer 1","2","Not Started","3","1","2025-05-13T16:57:19"
"Update API docs #3","huuu kkk","2","In Progress","3","0","2025-05-29T16:57:19"
"Implement feature X #7","huuu kkk","2","Not Started","5","5","2025-05-13T16:57:19"
"Conduct code review #8","huuu kkk","2","Not Started","1","0","2025-06-01T16:57:19"
"Third Task in Scrum 1 in Project 1","huuu kkk","4","Completed","9","0","2025-04-27T21:01"
"Update API docs #9","huuu kkk","2","In Progress","7","2","2025-05-13T16:57:19"
"Improve UI #5","Developer 1","4","In Progress","8","1","2025-05-21T16:57:19"
"Task 5 in Project 1","huuu kkk","4","Completed","8","0","2025-04-28T21:52"
"Second Task in Scrum 1 in Project 1","Developer 1","3","Completed","8","0","2025-04-19T19:08"
"First Task in First Scrum in Project 1","huuu kkk","3","Completed","8","0","2025-04-29T18:33"
"Task 4 in Scrum 1 in Project 1","huuu kkk","3","Completed","9","0","2025-04-21T21:37"
"Fix deployment script #10","huuu kkk","4","Not Started","8","6","2025-06-02T16:57:19"
"Conduct code review #12","Developer 1","4","In Progress","1","0","2025-05-05T16:57:19"
"Add logging #19","huuu kkk","4","In Progress","6","6","2025-06-03T16:57:19"
"Conduct code review #20","Developer 1","4","Not Started","6","5","2025-06-01T16:57:19"
"Conduct code review #21","Developer 1","4","In Progress","7","2","2025-06-02T16:57:19"
"Add logging #22","huuu kkk","4","In Progress","6","6","2025-05-10T16:57:19"
"Conduct code review #24","huuu kkk","4","Not Started","6","2","2025-05-10T16:57:19"
"Fix deployment script #25","huuu kkk","4","Not Started","8","3","2025-06-02T16:57:19"
"Write unit tests #27","huuu kkk","4","Not Started","5","5","2025-05-15T16:57:19"
"Fix deployment script #1","Developer 1","6","In Progress","3","2","2025-05-25T16:57:19"
"Fix bug Y #6","huuu kkk","6","In Progress","8","3","2025-05-23T16:57:19"
"Implement feature X #13","huuu kkk","6","Not Started","2","2","2025-06-03T16:57:19"
"Optimize SQL queries #14","huuu kkk","6","In Progress","4","3","2025-06-03T16:57:19"
"Fix bug Y #15","Developer 1","6","In Progress","5","1","2025-05-27T16:57:19"
"Fix bug Y #23","huuu kkk","6","Not Started","6","0","2025-05-25T16:57:19"
"Refactor module Z #29","huuu kkk","2","Not Started","6","4","2025-05-24T16:57:19"
"Implement feature X #30","huuu kkk","4","Not Started","4","3","2025-05-30T16:57:19"
"Implement feature X #32","huuu kkk","4","Not Started","3","3","2025-05-22T16:57:19"
"Write unit tests #34","Developer 1","4","Not Started","8","7","2025-05-17T16:57:19"
"Update API docs #39","huuu kkk","4","Not Started","2","1","2025-05-16T16:57:19"
"Fix bug Y #41","huuu kkk","4","In Progress","7","5","2025-05-10T16:57:19"
"Refactor module Z #45","huuu kkk","4","In Progress","4","4","2025-05-29T16:57:19"
"Improve UI #46","huuu kkk","4","Not Started","7","6","2025-05-08T16:57:19"
"Write unit tests #49","Developer 1","4","Not Started","7","1","2025-05-23T16:57:19"
"Refactor module Z #51","Developer 1","4","Not Started","5","4","2025-05-25T16:57:19"
"Improve UI #52","Developer 1","4","Not Started","2","2","2025-05-12T16:57:19"
"Fix bug Y #66","huuu kkk","4","Not Started","2","2","2025-05-06T16:57:19"
"Fix bug Y #31","huuu kkk","6","In Progress","2","2","2025-05-16T16:57:19"
"Fix deployment script #33","huuu kkk","6","In Progress","6","0","2025-05-22T16:57:19"
"Conduct code review #42","Developer 1","6","In Progress","8","1","2025-05-25T16:57:19"
"Write unit tests #43","huuu kkk","6","Not Started","8","4","2025-05-14T16:57:19"
"Update API docs #44","huuu kkk","6","Not Started","8","5","2025-05-11T16:57:19"
"Fix deployment script #47","huuu kkk","6","In Progress","1","1","2025-05-25T16:57:19"
"Improve UI #53","Developer 1","6","In Progress","3","0","2025-05-30T16:57:19"
"Implement feature X #55","huuu kkk","6","Not Started","7","2","2025-05-07T16:57:19"
"Optimize SQL queries #57","Developer 1","6","Not Started","1","1","2025-05-13T16:57:19"
"Conduct code review #60","Developer 1","6","Not Started","5","0","2025-06-03T16:57:19"
"Conduct code review #61","huuu kkk","6","Not Started","7","0","2025-05-28T16:57:19"
"Update API docs #73","huuu kkk","2","In Progress","1","1","2025-05-08T16:57:19"
"haaxkh khdbcb","Developer 1","4","To Do","6","0","2025-05-30T06:34"
"New Task","User Developer 2","4","Completed Development","10","0","2025-08-18T20:54"
"Update API docs #67","Developer 1","4","Not Started","5","0","2025-05-28T16:57:19"
"Optimize SQL queries #70","Developer 1","4","In Progress","6","4","2025-05-19T16:57:19"
"Optimize SQL queries #72","Developer 1","4","Not Started","8","8","2025-06-02T16:57:19"
"Refactor module Z #77","huuu kkk","4","In Progress","5","5","2025-05-15T16:57:19"
"Add logging #78","Developer 1","4","In Progress","4","3","2025-05-23T16:57:19"
"Conduct code review #80","huuu kkk","4","Not Started","5","5","2025-05-05T16:57:19"
"Implement feature X #68","huuu kkk","6","Not Started","5","2","2025-05-09T16:57:19"
"Implement feature X #69","Developer 1","6","In Progress","6","2","2025-05-12T16:57:19"
"Fix deployment script #71","Developer 1","6","Not Started","8","4","2025-05-26T16:57:19"
"Refactor module Z #74","Developer 1","6","In Progress","3","0","2025-05-25T16:57:19"
"Optimize SQL queries #75","huuu kkk","6","In Progress","5","3","2025-05-09T16:57:19"
"Implement feature X #76","huuu kkk","6","In Progress","5","2","2025-06-03T16:57:19"
"Optimize SQL queries #81","huuu kkk","6","Not Started","4","3","2025-05-28T16:57:19"
"Conduct code review #83","Developer 1","6","In Progress","3","1","2025-05-23T16:57:19"
"Fix bug Y #89","huuu kkk","6","Not Started","1","1","2025-05-29T16:57:19"
"Fix bug Y #92","Developer 1","6","In Progress","7","4","2025-05-16T16:57:19"
"Implement feature X #94","huuu kkk","6","Not Started","1","0","2025-05-14T16:57:19"
"Conduct code review #95","huuu kkk","6","In Progress","1","0","2025-05-14T16:57:19"
"Conduct code review #97","Developer 1","6","Not Started","5","0","2025-05-11T16:57:19"
"Test Task 3","Developer 1","5","Completed Development","12","0","2025-06-27T19:47"
"Test Task 2","User Developer 2","4","To Do","10","0","2025-05-19T19:46"
"Test Task 5","User Developer 2","3","Completed","25","0","2025-05-18T19:48"
"Improve UI #36","Developer 1","0","To Do","6","0","2025-05-06T16:57:19"
"Improve UI #11","huuu kkk","2","Not Started","1","0","2025-05-26T16:57:19"
"Fix deployment script #16","huuu kkk","2","Not Started","3","3","2025-05-19T16:57:19"
"Implement feature X #17","Developer 1","2","In Progress","3","0","2025-05-07T16:57:19"
"Fix deployment script #18","Developer 1","2","In Progress","5","0","2025-05-11T16:57:19"
"Conduct code review #26","Developer 1","2","In Progress","3","2","2025-05-26T16:57:19"
"Improve UI #28","huuu kkk","2","In Progress","8","6","2025-05-19T16:57:19"
"Implement feature X #35","huuu kkk","2","In Progress","4","1","2025-05-11T16:57:19"
"Add logging #37","huuu kkk","2","In Progress","2","0","2025-05-19T16:57:19"
"Update API docs #38","Developer 1","2","Not Started","6","5","2025-05-19T16:57:19"
"Optimize SQL queries #40","huuu kkk","2","Not Started","2","0","2025-05-16T16:57:19"
"Improve UI #48","huuu kkk","2","In Progress","3","3","2025-05-17T16:57:19"
"Add logging #50","Developer 1","2","In Progress","7","2","2025-05-10T16:57:19"
"Refactor module Z #54","huuu kkk","2","In Progress","6","2","2025-05-31T16:57:19"
"Conduct code review #56","huuu kkk","2","In Progress","4","3","2025-05-10T16:57:19"
"Conduct code review #58","huuu kkk","2","In Progress","3","3","2025-05-06T16:57:19"
"Implement feature X #59","huuu kkk","2","Not Started","6","6","2025-05-24T16:57:19"
"Improve UI #79","huuu kkk","2","In Progress","8","1","2025-05-26T16:57:19"
"Conduct code review #87","Developer 1","2","In Progress","8","6","2025-06-02T16:57:19"
"Implement feature X #91","huuu kkk","2","Not Started","4","1","2025-05-05T16:57:19"
"Optimize SQL queries #93","huuu kkk","2","Not Started","4","3","2025-05-14T16:57:19"
"Optimize SQL queries #96","huuu kkk","2","Not Started","3","3","2025-05-07T16:57:19"
"Conduct code review #62","Developer 1","4","Not Started","4","1","2025-05-11T16:57:19"
"Implement feature X #63","Developer 1","4","In Progress","5","0","2025-05-18T16:57:19"
"Optimize SQL queries #64","huuu kkk","4","Not Started","4","2","2025-05-29T16:57:19"
"Implement feature X #65","huuu kkk","4","In Progress","5","0","2025-05-05T16:57:19"
"Conduct code review #82","huuu kkk","4","In Progress","1","1","2025-05-09T16:57:19"
"Update API docs #84","huuu kkk","4","Not Started","6","3","2025-06-01T16:57:19"
"Optimize SQL queries #85","Developer 1","4","In Progress","5","4","2025-05-17T16:57:19"
"Add logging #86","huuu kkk","4","Not Started","1","1","2025-05-17T16:57:19"
"Test Task 1","Developer 1","5","Completed Development","8","0","2025-06-27T19:46"
"Implement feature X #88","huuu kkk","4","Not Started","8","0","2025-05-11T16:57:19"
"Refactor module Z #90","huuu kkk","4","Not Started","5","1","2025-05-08T16:57:19"
"Refactor module Z #98","Developer 1","4","Not Started","6","4","2025-05-05T16:57:19"
"Refactor module Z #100","Developer 1","6","Not Started","4","3","2025-05-14T16:57:19"
"Unit Test 1","Unassigned","5","To Do","10","0","2025-05-20T22:00"
"Unit Testing 2 with Attachments","Unassigned","5","To Do","4","0","2025-05-26T22:18"
"ooooooooqqqqqqqqqqqqqqqqqqqqqqqqqqqooooooooooooooooo","Developer 1","5","Completed Development","44","0","2025-06-27T19:47"
"Unit testing 3","Developer 1","5","To Do","12","0","2025-05-25T22:23"
"lllllllllllllllllllllllllllll","Developer 1","5","Completed Development","23","0","2025-06-27T19:47"
"THIS IS THE SCRUM FOR TESTING","Developer 1","6","To Do","4","0","2025-05-31T18:25"
"weeewwww","Developer 1","6","Completed","8","0","2025-06-23T23:52"
"hhshshshhsshhhshshshhsshsshshshshshshheheeeeee","Developer 1","5","Completed","4","0","2025-06-24T23:50"
"Fix deployment script #99","Developer 1","6","In Progress","4","0","2025-05-14T16:57:19"
"uiiiiiiiiiiiiiiiiiuuuuuuuuuuuuuuuu","Developer 1","3","Completed","22","0","2025-06-26T23:52"
"hjdjdjdjdkkd","Developer 1","5","Completed Development","12","0","2025-06-27T23:45"
"pqpqpqpqpqqqqpppppppppppp","Developer 1","2","To Do","7","0","2025-07-10T23:48"
"ioooppppoopoppp","Developer 1","3","To Do","9","0","2025-07-10T23:54"
"99999999999999999999999999999999999eeeeeeeeeee","Developer 1","5","Completed","7","0","2025-05-31T23:50"
"iiooooooooooooooooooooooooooo","Developer 1","6","Completed","9","0","2025-06-10T23:49"
"taskcreation","Developer 1","5","To Do","56","0","2025-05-30T14:18"
"oooooooooooooooooo","Developer 1","5","To Do","3","0","2025-06-27T23:47"
